name,Year of production,Condition,Reference number,Scope of delivery,Location,Case area(mm2),price($),Case material_Aluminum,Case material_Gold/Steel,Case material_Palladium,Case material_Platinum,Case material_Red gold,Case material_Rose gold,Case material_Silver,Case material_Steel,Case material_White gold,Case material_Yellow gold,Movement_Automatic,Movement_Manual winding,Movement_Quartz
6,2017,3,714,2,177,,45000.0,False,False,False,False,False,False,False,False,True,False,True,False,False
6,1999,6,180,2,259,,20601.0,False,False,False,False,False,False,False,False,True,False,True,False,False
11,1994,6,247,2,247,594.0,8750.0,False,False,False,False,False,False,False,False,False,True,False,False,True
25,2024,5,761,2,27,,29955.0,False,False,False,False,False,False,False,True,False,False,True,False,False
6,2022,6,60,0,222,,22000.0,False,False,False,False,False,False,False,True,False,False,False,True,False
25,2004,6,282,2,185,,10857.0,False,False,False,False,False,False,False,False,True,False,True,False,False
0,2020,3,697,2,247,,79000.0,False,False,False,False,False,False,False,True,False,False,True,False,False
6,2024,6,447,0,247,,15999.0,False,False,False,False,False,False,False,False,False,True,False,True,False
6,2000,6,174,1,228,,12600.0,False,False,False,False,False,False,False,False,True,False,False,True,False
6,2023,3,425,2,247,,93000.0,False,False,False,True,False,False,False,False,False,False,True,False,False
6,2014,1,649,0,228,,15080.0,False,False,False,False,False,False,False,False,False,True,False,True,False
6,2016,6,639,2,247,,42499.0,False,False,False,False,False,False,False,False,True,False,True,False,False
1,1985,6,368,2,259,1526.0,48000.0,False,False,False,False,False,True,False,False,False,False,True,False,False
28,2023,3,652,2,96,,69041.0,False,False,False,False,False,False,False,True,False,False,True,False,False
4,2014,6,312,0,247,,121999.0,False,False,False,False,False,False,False,False,True,False,True,False,False
11,2023,6,637,0,238,,26000.0,False,False,False,False,False,True,False,False,False,False,True,False,False
21,2022,3,735,2,195,,79289.0,False,False,False,False,False,False,False,False,True,False,True,False,False
4,2023,5,312,2,247,,129000.0,False,False,False,False,False,False,False,False,True,False,True,False,False
18,2019,6,636,2,259,1526.0,99106.0,False,False,False,False,False,True,False,False,False,False,True,False,False
24,2004,6,506,2,259,,44500.0,False,False,False,False,False,True,False,False,False,False,False,True,False
18,2015,6,414,2,228,,128850.0,False,True,False,False,False,False,False,False,False,False,True,False,False
12,2012,6,242,2,17,217.0,9465.0,False,False,False,False,False,False,False,False,False,True,False,False,True
6,1960,6,391,1,115,,10022.0,False,False,False,False,False,False,False,False,False,True,False,True,False
2,2021,1,661,2,3,,72000.0,False,False,False,False,False,True,False,False,False,False,True,False,False
1,2019,6,316,3,259,,44659.0,False,False,False,False,False,False,False,False,True,False,True,False,False
18,2023,5,641,2,247,1526.0,119445.0,False,False,False,False,False,False,False,True,False,False,True,False,False
18,2012,6,630,2,80,,144485.0,False,False,False,False,False,False,False,True,False,False,True,False,False
12,2012,6,503,2,94,,18415.0,False,False,False,False,False,False,False,False,False,True,False,True,False
1,2008,6,597,2,231,,39950.0,False,False,False,False,False,True,False,False,False,False,True,False,False
18,2016,6,414,2,247,,125000.0,False,False,False,False,False,False,False,True,False,False,True,False,False
21,1994,6,508,3,159,,57905.0,False,False,False,False,False,False,False,False,True,False,True,False,False
28,1944,6,652,0,238,,59500.0,False,False,False,False,False,False,False,True,False,False,True,False,False
18,2023,6,416,2,70,,145536.0,False,False,False,False,False,False,False,True,False,False,True,False,False
1,2001,6,462,2,221,,76750.0,False,False,False,False,False,False,False,False,False,True,True,False,False
0,1940,6,800,1,222,,5999.0,False,False,False,False,False,False,False,False,False,True,False,True,False
22,2020,5,565,2,247,,159000.0,False,False,False,False,False,False,False,False,False,True,True,False,False
18,2021,3,711,2,202,,74283.0,False,False,False,False,False,False,False,True,False,False,True,False,False
4,1998,6,414,2,69,,52950.0,False,False,False,False,False,False,False,True,False,False,True,False,False
9,2002,1,213,0,247,,24995.0,False,False,False,False,False,False,False,False,False,True,True,False,False
2,2010,6,665,2,208,,61908.0,False,False,False,True,False,False,False,False,False,False,True,False,False
4,2023,5,518,2,259,,49461.0,False,False,False,False,False,False,False,True,False,False,False,False,True
1,2006,3,564,2,219,,54999.0,False,False,False,False,False,False,False,False,True,False,True,False,False
0,2010,1,92,0,228,860.0,7700.0,False,False,False,False,False,False,False,False,False,True,False,True,False
0,2008,6,488,0,159,,7238.0,False,False,False,False,False,False,False,False,False,True,False,True,False
18,2021,5,644,2,208,,81784.0,False,False,False,False,False,False,False,True,False,False,True,False,False
18,2024,3,447,2,195,,160000.0,False,False,False,False,False,False,False,False,True,False,True,False,False
1,2024,3,299,2,219,,58900.0,False,False,False,False,False,True,False,False,False,False,True,False,False
26,2023,1,597,0,247,,7600.0,False,False,False,False,False,False,False,False,False,True,False,True,False
21,2023,3,661,2,195,,81802.0,False,False,False,False,False,True,False,False,False,False,True,False,False
9,2022,5,461,2,247,,78000.0,False,False,False,False,False,False,False,False,True,False,False,True,False
6,2023,3,673,2,79,,41901.0,False,False,False,False,False,False,False,False,True,False,True,False,False
8,2020,6,465,2,219,,64950.0,False,False,False,False,False,False,False,False,True,False,False,True,False
1,2010,6,498,2,133,,35313.0,False,False,False,False,False,False,False,False,False,True,True,False,False
11,2024,6,123,0,158,185.0,15367.0,False,False,False,False,False,False,False,False,False,True,True,False,False
4,2024,3,497,2,80,,91945.0,False,False,False,False,False,False,False,False,True,False,True,False,False
12,2006,6,5,3,208,,23447.0,False,False,False,False,False,True,False,False,False,False,False,True,False
21,2022,6,373,2,70,,43701.0,False,False,False,False,False,False,False,False,False,True,True,False,False
6,2023,6,673,2,259,,29827.0,False,False,False,False,False,False,False,False,True,False,True,False,False
18,2020,6,711,2,259,,53500.0,False,False,False,False,False,False,False,True,False,False,True,False,False
18,2016,6,414,2,208,,114041.0,False,False,False,False,False,False,False,True,False,False,True,False,False
