name,Movement,Case material,Year of production,Condition,Reference number,Scope of delivery,Location,Case area(mm2),price($)
12,1,8,2008,6,1217,2,852,1436.2,21875.0
6,1,9,1967,6,227,1,842,754.7676350249478,9200.0
18,0,5,2009,6,1795,0,844,1288.2493375126646,104997.0
4,0,7,2021,5,1758,2,937,1398.6684653047118,127000.0
27,0,8,2019,5,1450,2,939,1164.1564276958677,37500.0
26,1,9,2024,1,22,0,941,804.247719318987,7000.0
6,1,9,1992,1,476,3,185,855.2985999398212,11247.0
18,0,1,2018,6,1787,1,937,1559.25,102900.0
4,0,8,2023,6,1374,2,779,1398.6684653047118,78500.0
18,0,8,2023,5,1703,2,845,1320.2543126711105,148000.0
1,0,5,2022,6,1429,2,881,1256.6370614359173,58000.0
6,1,9,1958,1,89,0,871,855.2985999398212,7499.0
0,1,7,1965,6,225,0,907,855.2985999398212,14000.0
6,1,9,1945,6,2010,0,937,1075.2100856911068,9900.0
6,1,9,1967,1,133,0,937,962.1127501618741,7750.0
4,0,8,2022,6,1375,2,779,1398.6684653047118,81000.0
18,0,7,2021,5,1801,2,935,1288.2493375126646,109500.0
4,0,7,2009,6,1368,2,905,1256.6370614359173,49500.0
22,1,9,2022,5,1500,2,937,1320.2543126711105,144995.0
18,0,7,2008,0,1645,2,790,1520.0,95000.0
21,0,8,1997,6,960,0,907,1017.8760197630929,48000.0
6,1,8,2014,6,382,0,841,754.7676350249478,13999.0
6,0,8,2018,6,1815,2,905,1194.5906065275187,27500.0
18,0,7,2023,5,1682,2,937,1288.2493375126646,126450.0
27,0,8,2011,6,1240,2,349,1225.4174844408687,36191.0
28,0,8,1955,5,1720,2,937,1225.4174844408687,61000.0
6,1,8,1995,6,633,3,229,490.8738521234052,9910.0
1,0,5,2022,6,1429,1,937,1256.6370614359173,58399.0
8,1,8,2023,6,1390,2,843,1320.2543126711105,67950.0
18,0,5,2016,6,1633,2,937,1256.6370614359173,159000.0
6,0,7,2019,6,1435,2,950,1256.6370614359173,35000.0
18,0,7,2023,5,1917,2,937,973.1397403759745,60995.0
19,0,1,1990,6,1087,1,810,1017.8760197630929,14450.0
6,0,5,2019,6,1448,2,850,1194.5906065275187,31999.0
4,2,9,2020,6,826,1,937,615.7521601035994,30000.0
6,1,8,2020,1,1400,2,882,296.0,21425.0
6,0,9,2018,5,599,0,975,855.2985999398212,9095.0
6,2,9,1990,6,643,1,822,125.0,6454.0
6,0,9,1970,6,312,1,839,855.2985999398212,9260.0
0,1,9,1950,1,147,0,937,283.5287369864788,8000.0
11,0,9,1973,6,311,0,907,1254.0,28000.0
24,0,8,2021,6,1594,2,906,1385.4423602330987,42999.0
4,0,7,2016,6,1349,2,937,1307.4051987179282,78959.0
4,0,7,2015,1,1360,2,937,1256.6370614359173,49000.0
18,0,5,2019,5,1633,2,937,1256.6370614359173,151900.0
21,0,8,2021,5,1534,2,939,1256.6370614359173,60999.0
18,0,7,2010,6,1645,2,937,1520.0,92500.0
11,1,8,2022,6,320,0,817,572.5552611167398,9500.0
27,0,5,2000,6,1175,0,976,1702.0,29850.0
6,0,7,2022,5,1435,2,845,1256.6370614359173,38900.0
6,1,5,1944,6,1701,3,824,1584.0,19900.0
18,2,7,1985,1,616,0,339,572.5552611167398,13251.0
18,0,7,2007,6,400,0,937,1075.2100856911068,46000.0
6,0,8,2021,6,1593,2,937,1385.4423602330987,37495.0
18,0,7,2021,6,1700,2,878,1134.1149479459152,80000.0
21,0,9,2005,6,963,2,937,962.1127501618741,44999.0
18,0,7,2022,6,1682,2,739,1288.2493375126646,126292.0
4,0,7,2016,5,1369,2,213,1256.6370614359173,54843.0
4,0,8,2018,6,1374,2,852,1398.6684653047118,149875.0
4,0,8,2023,6,1375,2,349,1398.6684653047118,94653.0
18,0,9,1995,6,398,1,220,1075.2100856911068,36180.0
6,0,5,2022,6,1448,2,519,1194.5906065275187,35523.0
18,0,5,2009,3,1657,2,975,1256.6370614359173,88810.0
12,1,9,1907,6,51,2,58,1385.4423602330987,15000.0
12,1,9,1890,1,902,0,809,706.8583470577034,14900.0
21,0,8,2022,6,1345,2,801,1134.1149479459152,63995.0
18,0,7,2017,6,1622,2,845,1256.6370614359173,95500.0
6,0,8,2022,6,1974,2,487,1104.4661672776617,33893.0
18,0,5,2012,6,1794,2,805,1288.2493375126646,105716.0
6,0,9,1958,1,2107,0,976,1332.5,15950.0
18,0,7,2019,6,1801,2,846,1288.2493375126646,125000.0
18,0,7,2009,1,1624,2,817,1520.0,87500.0
4,0,8,2020,5,1374,2,845,1398.6684653047118,80500.0
18,0,7,2006,6,1701,2,846,1134.1149479459152,85999.0
1,0,5,2000,6,944,2,871,1075.2100856911068,27999.0
6,0,8,2015,1,1515,3,861,1134.1149479459152,18000.0
21,0,8,2022,5,1534,2,935,1256.6370614359173,61900.0
4,0,8,2020,6,1374,2,812,1398.6684653047118,88000.0
4,0,8,2021,5,1374,2,937,1398.6684653047118,79995.0
4,0,7,2016,6,1349,2,937,1307.4051987179282,77500.0
6,0,9,1995,6,923,0,937,1017.8760197630929,19850.0
6,1,8,2020,5,1944,2,831,855.2985999398212,19990.0
4,0,7,2021,3,1369,2,260,1256.6370614359173,63362.0
4,0,7,2009,1,1360,2,937,1256.6370614359173,49220.0
18,2,1,1980,6,610,0,381,572.5552611167398,10523.0
6,1,5,2021,6,1835,2,790,1194.5906065275187,28575.0
18,0,7,2015,6,1681,2,937,1288.2493375126646,114500.0
6,0,7,2022,6,1435,3,373,1256.6370614359173,38975.0
0,0,5,2020,6,403,0,853,940.2472652928892,24900.0
22,1,8,2012,6,1494,2,349,1320.2543126711105,122492.0
18,2,7,1989,6,471,0,949,855.2985999398212,27500.0
11,0,5,2023,6,1694,0,891,1362.75,26000.0
25,0,5,2022,3,1989,2,845,1017.8760197630929,42500.0
4,0,7,2018,6,1349,2,937,1307.4051987179282,73000.0
4,0,7,2008,6,1369,1,923,1307.4051987179282,52350.0
12,1,3,2024,6,1157,1,975,1290.0,19950.0
18,0,7,2019,5,1622,2,845,1256.6370614359173,117500.0
25,2,5,2023,5,736,2,439,750.0,27839.0
4,0,5,2023,5,1353,2,838,1307.4051987179282,126795.0
12,1,9,1990,1,1220,0,870,1436.2,16450.0
18,0,9,1955,6,396,0,925,1075.2100856911068,39000.0
18,2,5,2024,3,1870,2,960,804.247719318987,52500.0
26,1,9,1944,6,37,1,975,750.0,10700.0
6,1,5,1954,1,2132,0,937,1017.8760197630929,20425.0
26,1,9,1940,6,2012,0,876,1080.0,7988.0
18,0,7,2022,6,1917,2,937,973.1397403759745,100000.0
4,0,8,2022,6,1375,2,238,1398.6684653047118,82292.0
18,2,3,1981,6,620,2,845,380.132711084365,53000.0
1,0,7,2023,6,761,2,931,1134.1149479459152,35993.0
4,2,7,2008,6,1022,0,933,1017.8760197630929,24993.0
18,0,7,2018,6,1624,2,881,1520.0,114000.0
0,0,7,1995,6,395,2,238,1075.2100856911068,60689.0
4,0,5,2010,6,1371,2,937,1256.6370614359173,68495.0
27,0,8,2007,6,1240,2,396,1225.4174844408687,38418.0
18,0,7,2018,6,1801,2,937,1288.2493375126646,113500.0
18,2,5,2018,6,1869,2,852,804.247719318987,41875.0
6,0,8,2023,6,1822,2,864,1256.6370614359173,39890.0
6,1,8,2022,6,1833,2,73,1194.5906065275187,29199.0
6,1,9,2000,1,682,0,976,750.0,10275.0
18,0,7,2012,6,1624,2,761,1520.0,96439.0
6,1,5,2024,1,493,0,814,804.247719318987,12500.0
18,0,8,2022,5,1703,2,845,1320.2543126711105,147500.0
4,0,7,1998,6,1036,2,829,1017.8760197630929,39000.0
4,2,7,2023,5,1481,2,937,1182.3698111050544,53995.0
4,0,8,2018,6,1374,2,937,1398.6684653047118,82500.0
6,1,9,2019,1,488,0,841,855.2985999398212,8199.0
12,1,9,1992,6,866,2,529,994.5,9966.0
18,0,7,2012,6,1624,2,203,1520.0,93428.0
21,0,8,2012,6,1299,0,907,1075.2100856911068,55000.0
6,1,9,1945,1,2010,0,318,754.7676350249478,6785.0
21,1,8,2012,6,1299,0,907,1075.2100856911068,55000.0
6,1,9,1945,1,2010,0,318,754.7676350249478,6785.0
25,2,7,2006,1,753,2,937,750.0,9900.0
1,0,5,2022,3,1429,2,937,1256.6370614359173,64500.0
11,1,9,1980,6,446,0,845,837.0,13000.0
26,1,9,1965,6,2008,0,876,1287.0,7988.0
6,0,8,1961,6,129,0,907,855.2985999398212,19500.0
12,1,8,2023,6,1129,0,955,1155.0,34999.0
19,0,7,2006,5,153,2,890,1075.2100856911068,29200.0
