name,Movement,Case material,Year of production,Condition,Reference number,Scope of delivery,Location,Case area(mm2),price($)
Patek Philippe Calatrava,Manual winding,Yellow gold,1987,Very good,3919,"Original box, original papers", Florida,907.9202768874502,18400.0
Patek Philippe Calatrava,Manual winding,Yellow gold,2006,Unworn,5196,"Original box, no original papers", Florida,1075.2100856911068,19500.0
Patek Philippe Golden Ellipse,Automatic,White gold,1997,Very good,5028,"No original box, no original papers", New Jersey,1116.0,22000.0
Patek Philippe Nautilus,Automatic,White gold,2020,Very good,5712,"No original box, no original papers", New York,1256.6370614359173,70000.0
Patek Philippe,Manual winding,Yellow gold,1891,Good,Pate,"No original box, no original papers", Florida,973.1397403759745,7800.0
Patek Philippe Aquanaut,Automatic,Rose gold,2018,New,5164,"Original box, original papers", New York,1307.4051987179282,98000.0
Patek Philippe Gondolo,Automatic,Yellow gold,1985,Very good,Pate,"Original box, original papers", Georgia,899.0,14990.0
Patek Philippe Aquanaut,Automatic,White gold,2022,Unworn,5168,"Original box, original papers", New York,1398.6684653047118,84995.0
Patek Philippe Nautilus,Automatic,Steel,2011,Very good,5712,"Original box, original papers", New York,1256.6370614359173,97000.0
Patek Philippe Nautilus,Automatic,Steel,2002,Very good,5711,"Original box, original papers", New York,1256.6370614359173,111399.0
Patek Philippe Aquanaut,Quartz,Yellow gold,2022,Very good,4960,"Original box, no original papers", New York,615.7521601035994,30000.0
Patek Philippe Calatrava,Automatic,Rose gold,2022,Very good,5227,"No original box, no original papers", California,1194.5906065275187,29900.0
Patek Philippe Aquanaut,Automatic,Steel,2022,Very good,5164,"Original box, original papers", New York,1307.4051987179282,78775.0
Patek Philippe Aquanaut,Automatic,Steel,2023,Unworn,5968,"Original box, original papers", Florida,1398.6684653047118,154995.0
Patek Philippe Nautilus,Automatic,Rose gold,2015,Very good,5711,"Original box, original papers", Washington,1256.6370614359173,165000.0
Patek Philippe Grand Complications,Automatic,White gold,2017,Very good,5524,"Original box, original papers", New York,1385.4423602330987,38500.0
Patek Philippe Aquanaut,Automatic,Steel,2017,Very good,5167,"Original box, original papers", New York,1256.6370614359173,51500.0
Patek Philippe Travel Time,Automatic,White gold,2018,Good,5524,"Original box, original papers", Connecticut,1385.4423602330987,40000.0
Patek Philippe,Automatic,Platinum,1930,Very good,5935,"No original box, no original papers", New Jersey,1520.53084433746,15000.0
Patek Philippe World Time,Automatic,Platinum,2022,Very good,5230,"Original box, original papers", Florida,1164.1564276958677,58000.0
Patek Philippe Nautilus,Automatic,Steel,2014,Very good,4700,"Original box, no original papers", Florida,1256.6370614359173,19500.0
Patek Philippe Aquanaut,Automatic,Steel,2014,Good,5167,"Original box, original papers", New York,1256.6370614359173,48500.0
Patek Philippe Nautilus,Automatic,Steel,2016,Very good,5711,"Original box, original papers", New York,1520.0,108000.0
Patek Philippe Nautilus,Automatic,Steel,2010,Good,5726,"Original box, original papers", Georgia,1288.2493375126646,68750.0
Patek Philippe,Manual winding,Yellow gold,1910,Good,871,"Original box, original papers", 01900,2123.7166338267,15700.0
Patek Philippe Calatrava,Automatic,Yellow gold,2023,Very good,3520,"Original box, original papers", 05600,855.2985999398212,7122.0
Patek Philippe Aquanaut,Automatic,Rose gold,2009,Good,5167,"Original box, original papers", New York,1256.6370614359173,68995.0
Patek Philippe Calatrava,Manual winding,White gold,2008,Very good,3919,"No original box, no original papers", New York,855.2985999398212,9530.0
Patek Philippe Golden Ellipse,Manual winding,Yellow gold,1970,Very good,3548,"Original box, no original papers", California,864.0,10990.0
Patek Philippe Calatrava,Manual winding,Yellow gold,1962,Very good,96,"Original box, no original papers", California,754.7676350249478,12995.0
