name,Movement,Case material,Year of production,Condition,Reference number,Scope of delivery,Location,Case area(mm2),price($)
8,1,6,2014,5,464,2,33,1194.5906065275187,65811.0
23,0,6,2018,5,515,2,786,1385.4423602330987,40995.0
21,1,3,2021,4,488,2,824,1320.2543126711105,175000.0
1,0,6,2012,5,454,2,178,1194.5906065275187,41480.0
6,0,6,1972,1,165,0,378,1520.0,12806.0
6,0,5,2023,5,474,2,63,1256.6370614359173,41703.0
17,0,5,2016,3,532,2,546,1288.2493375126646,140309.0
17,0,5,2020,4,553,2,626,1288.2493375126646,114686.0
13,1,1,2018,5,501,2,838,1320.2543126711105,214950.0
26,0,6,2024,5,447,2,814,1194.5906065275187,158999.0
20,0,6,2009,5,453,2,815,1075.2100856911068,54500.0
11,1,7,2011,1,282,0,208,644.0,6336.0
11,0,7,1995,5,208,0,645,1103.6000000000001,20853.0
4,0,5,2023,4,460,2,506,1307.4051987179282,100220.0
4,0,5,2012,5,460,0,824,1307.4051987179282,72000.0
17,0,5,2023,1,124,0,824,855.2985999398212,79995.0
2,0,3,2023,5,545,2,85,1288.2493375126646,54453.0
0,1,6,2015,5,177,1,824,907.9202768874502,8000.0
26,0,6,2022,5,481,2,21,1164.1564276958677,113583.0
6,1,6,1984,5,440,0,393,1017.8760197630929,14750.0
0,0,7,1999,5,419,0,176,1075.2100856911068,65700.0
17,0,5,2019,5,525,2,254,1520.0,120185.0
2,0,5,2015,5,545,2,313,1288.2493375126646,77392.0
6,0,7,2019,5,187,0,718,855.2985999398212,10500.0
26,0,7,2020,5,481,2,210,1164.1564276958677,121367.0
17,0,6,2024,3,552,2,824,855.2985999398212,230000.0
8,1,3,2016,5,464,2,242,1219.2206929316628,58883.0
1,0,6,2022,5,505,1,423,1164.1564276958677,42943.0
17,0,5,2021,4,525,2,619,1256.6370614359173,625530.0
23,0,6,2023,5,515,2,85,1385.4423602330987,52337.0
4,0,3,2021,5,460,0,824,1320.2543126711105,115000.0
6,0,6,2014,0,441,0,405,962.1127501618741,16409.0
20,0,3,2020,4,458,2,824,1134.1149479459152,96825.0
23,0,3,1950,3,590,2,705,1104.4661672776617,41500.0
4,0,3,2023,3,547,2,148,1398.6684653047118,150219.0
17,0,6,2015,5,526,2,153,1520.0,114500.0
6,0,6,2023,3,539,2,824,1385.4423602330987,84000.0
17,0,3,2022,4,553,2,824,1288.2493375126646,268000.0
17,0,3,2008,5,526,2,127,1520.0,99107.0
20,0,6,2018,5,498,3,250,1194.5906065275187,64000.0
17,0,3,2024,3,577,2,506,973.1397403759745,99664.0
1,0,7,2005,5,454,2,732,1194.5906065275187,37500.0
2,0,5,2022,5,545,2,813,1288.2493375126646,82999.0
17,0,3,2022,4,552,2,744,1288.2493375126646,128250.0
0,1,7,1982,5,290,0,645,660.0,81784.0
17,0,3,2014,5,552,2,460,1559.25,156986.0
1,0,5,2024,4,355,2,506,1134.1149479459152,46770.0
6,1,7,1945,1,603,0,276,754.7676350249478,6785.0
17,2,1,2013,5,567,2,423,804.247719318987,38419.0
4,0,6,2023,5,463,2,682,1398.6684653047118,78500.0
10,2,7,1985,5,471,0,156,1017.8760197630929,17816.0
12,1,6,2024,5,443,0,732,1419.0,21888.0
12,1,3,2007,4,575,2,85,688.1344548423084,106011.0
2,0,7,2024,3,546,2,747,1134.1149479459152,170100.0
17,0,6,2016,4,551,2,619,1520.53084433746,443065.0
1,0,3,2020,5,505,2,530,1134.1149479459152,65950.0
17,0,5,2009,5,526,2,658,1520.0,130332.0
6,0,2,1970,1,457,2,395,1134.1149479459152,32123.0
4,0,5,2021,4,462,2,197,1256.6370614359173,77838.0
27,0,1,2024,4,541,2,744,1225.4174844408687,107904.0
11,2,7,1997,1,320,1,463,415.4756284372501,10729.0
6,1,3,2021,1,442,0,253,1134.1149479459152,15592.0
0,1,7,2024,5,287,0,393,525.0,9152.0
6,1,3,2022,4,561,2,484,1194.5906065275187,34095.0
9,0,6,2022,5,467,0,246,1194.5906065275187,70396.0
1,0,6,2020,4,505,2,824,1164.1564276958677,55510.0
6,1,7,2006,5,308,2,200,490.8738521234052,10021.0
17,0,5,2007,4,526,2,589,1256.6370614359173,111350.0
1,0,6,2023,5,455,2,838,1194.5906065275187,44950.0
17,0,3,2016,5,526,2,824,1520.0,124000.0
6,0,6,2000,5,324,0,795,660.519855417254,13000.0
20,0,1,1970,5,511,2,824,1194.5906065275187,79599.0
17,0,3,2014,5,552,2,453,1256.6370614359173,228280.0
26,0,6,2010,1,446,2,525,1225.4174844408687,36539.0
23,0,3,2020,5,515,2,824,1385.4423602330987,47500.0
17,2,3,2016,5,567,2,824,804.247719318987,50541.0
17,0,3,2018,5,552,2,73,1288.2493375126646,191236.0
6,0,7,2016,1,167,3,253,962.1127501618741,14350.0
17,0,5,2023,3,526,2,609,1520.0,135406.0
6,0,7,2019,1,132,3,401,962.1127501618741,15865.0
24,0,5,2021,3,592,2,732,1017.8760197630929,34500.0
24,2,5,1962,5,347,2,85,750.0,10245.0
1,0,3,2022,5,471,2,775,1256.6370614359173,58000.0
20,0,3,2023,4,585,2,645,967.6183912872903,76890.0
4,0,5,2019,5,547,2,813,1398.6684653047118,139999.0
4,2,5,2011,5,420,1,857,973.1397403759745,35000.0
26,0,3,2021,4,480,2,544,1307.4051987179282,40000.0
0,1,3,1938,5,619,3,130,1520.0,37861.0
17,0,3,2021,4,552,2,690,1256.6370614359173,199000.0
17,2,7,2000,1,303,2,580,572.5552611167398,22160.0
3,0,6,2007,3,497,2,609,1320.2543126711105,85152.0
24,2,6,2005,1,349,2,351,750.0,14365.0
4,0,3,2024,3,487,2,609,1182.3698111050544,88000.0
1,0,5,2012,5,471,2,816,1256.6370614359173,35992.0
4,0,5,2014,5,462,2,382,1256.6370614359173,58462.0
1,0,6,2014,5,454,1,527,1194.5906065275187,50481.0
20,0,6,2021,5,392,2,784,1017.8760197630929,46000.0
27,0,6,2021,5,541,2,530,1194.5906065275187,58950.0
4,0,3,2022,3,411,2,744,995.3822163633902,172000.0
27,0,6,2017,3,541,2,329,1225.4174844408687,94653.0
0,0,6,2022,5,534,2,208,1320.2543126711105,247633.0
6,0,7,2013,5,457,3,406,1134.1149479459152,29501.0
12,1,7,2024,1,375,0,415,945.0,10148.0
17,0,5,2018,5,553,2,645,1288.2493375126646,130326.0
4,0,6,2024,3,547,2,609,1398.6684653047118,124238.0
17,0,5,1990,5,221,0,645,1075.2100856911068,104266.0
17,0,3,2024,5,577,2,705,962.1127501618741,89750.0
4,0,2,2021,5,460,2,423,1307.4051987179282,111336.0
1,0,5,2022,5,355,2,784,1134.1149479459152,38500.0
17,0,5,2023,3,532,2,580,1288.2493375126646,89079.0
6,0,3,2019,5,515,2,293,1385.4423602330987,46770.0
6,2,7,1979,1,210,0,824,855.2985999398212,12999.0
4,0,5,2021,3,462,2,824,1256.6370614359173,72000.0
26,0,1,2024,4,480,2,506,1164.1564276958677,67927.0
21,0,1,2022,5,488,2,127,1320.2543126711105,206009.0
1,0,3,2020,4,356,2,824,1134.1149479459152,79805.0
2,0,1,1993,1,546,2,423,1288.2493375126646,123707.0
2,0,5,2024,3,538,2,506,1385.4423602330987,71156.0
17,0,6,2023,3,528,2,148,1256.6370614359173,879712.0
6,0,6,2020,1,166,0,34,934.8201639838128,14142.0
11,1,6,2023,5,160,0,498,864.0,9243.0
25,1,7,1902,5,590,0,702,1164.1564276958677,6999.0
17,0,3,1999,5,221,2,279,1256.6370614359173,77949.0
4,0,2,2024,0,462,2,395,1307.4051987179282,100959.0
12,1,7,2023,4,443,1,747,1436.2,18800.0
2,0,6,2018,1,545,2,485,1288.2493375126646,91850.0
6,0,6,2020,5,590,2,856,1104.4661672776617,36500.0
24,0,5,2018,4,592,2,822,1017.8760197630929,25500.0
24,2,5,2016,5,347,2,293,750.0,13251.0
25,1,1,2018,1,567,0,824,1486.1696746888215,8900.0
26,0,3,2018,5,480,2,824,1164.1564276958677,95000.0
4,1,5,2009,5,407,2,227,907.9202768874502,55677.0
6,0,6,2023,3,558,2,348,1256.6370614359173,54342.0
17,0,6,2023,4,536,2,824,1320.2543126711105,155595.0
1,0,6,1943,5,455,2,705,1194.5906065275187,48950.0
9,0,6,2023,3,481,2,599,1164.1564276958677,135000.0
0,1,7,1999,1,244,0,412,907.9202768874502,9735.0
1,0,7,2023,5,454,2,250,1194.5906065275187,32500.0
17,0,5,2012,5,552,1,127,1288.2493375126646,105788.0
11,0,1,2020,5,533,3,127,1362.75,54119.0
4,0,3,2017,4,462,2,153,1256.6370614359173,77949.0
6,1,6,2021,4,561,2,446,1194.5906065275187,29800.0
17,2,7,1985,5,242,0,322,855.2985999398212,45656.0
4,0,3,2021,5,460,2,208,1307.4051987179282,116924.0
17,0,5,2008,5,552,2,619,1288.2493375126646,112021.0
6,0,5,2021,4,558,2,744,1256.6370614359173,49999.0
26,0,6,2013,3,447,2,546,1225.4174844408687,122492.0
6,0,7,2012,1,445,1,498,1702.0,24498.0
4,0,5,2023,4,462,2,164,1256.6370614359173,74609.0
0,0,7,2023,5,378,0,574,804.247719318987,49000.0
9,0,3,2021,3,467,2,609,1194.5906065275187,92800.0
6,1,7,1995,5,225,0,159,855.2985999398212,12248.0
9,0,6,2024,3,465,2,248,1320.2543126711105,74213.0
6,0,5,2023,5,558,2,227,1256.6370614359173,64563.0
26,0,3,1851,5,480,2,250,1578.5,38500.0
24,2,5,2023,5,347,3,715,750.0,9300.0
1,0,3,2008,3,505,2,815,1134.1149479459152,43900.0
17,0,3,2019,4,525,2,645,1256.6370614359173,164870.0
17,0,5,1995,5,221,0,178,1075.2100856911068,42427.0
0,2,7,1990,5,310,0,307,415.4756284372501,7798.0
20,0,1,2023,5,483,2,824,1339.6457933253935,104900.0
17,0,6,2021,3,536,2,265,1320.2543126711105,159459.0
20,0,6,2022,3,458,2,266,1134.1149479459152,94047.0
6,0,7,2024,5,151,0,824,995.3822163633902,25000.0
1,0,6,2013,5,353,2,766,1075.2100856911068,33120.0
17,0,5,2021,3,525,2,645,1256.6370614359173,247632.0
9,1,3,2016,5,361,2,164,870.9201694097964,52337.0
17,0,5,1981,1,201,2,502,1256.6370614359173,384178.0
0,1,7,1958,5,91,0,124,962.1127501618741,10579.0
13,1,1,2023,3,485,2,33,973.1397403759745,4777173.0
17,0,3,2015,5,525,2,824,1256.6370614359173,159000.0
6,1,2,2022,4,339,2,395,855.2985999398212,23839.0
4,0,6,2023,5,463,2,645,1398.6684653047118,85368.0
10,0,7,1982,5,227,0,42,1075.2100856911068,20657.0
17,2,5,2016,5,303,0,756,615.7521601035994,19240.0
1,0,3,2023,5,356,2,242,1134.1149479459152,69541.0
21,1,3,2024,5,488,2,824,1320.2543126711105,162000.0
4,0,5,2016,5,460,2,322,1307.4051987179282,155898.0
1,0,3,2022,4,471,2,824,1256.6370614359173,74500.0
17,0,5,2021,4,532,2,610,1288.2493375126646,123000.0
8,1,3,2021,3,586,2,266,1134.1149479459152,65544.0
12,1,7,2009,5,443,3,322,1436.2,21158.0
24,2,5,2017,4,347,2,857,753.0,17500.0
4,0,3,2024,3,484,2,838,1256.6370614359173,169900.0
12,2,7,2018,5,314,2,604,706.8583470577034,11000.0
26,0,6,2024,3,564,2,841,1075.2100856911068,114900.0
17,0,5,2016,5,526,2,609,1520.0,111732.0
21,1,6,2022,4,470,2,71,1256.6370614359173,281613.0
12,0,6,2014,5,386,0,756,1139.0,26940.0
4,0,6,2024,4,547,2,506,1398.6684653047118,140309.0
17,0,3,2020,3,577,2,266,973.1397403759745,92602.0
17,0,5,2021,5,552,2,423,1288.2493375126646,156027.0
17,2,3,1975,3,567,2,265,804.247719318987,58451.0
17,0,5,2022,4,526,2,824,1520.0,127470.0
6,0,6,2023,3,539,2,33,804.247719318987,105788.0
1,0,6,2016,3,471,2,744,1256.6370614359173,54999.0
6,1,6,2010,5,338,0,242,1320.2543126711105,15645.0
1,0,6,2023,1,471,2,425,1256.6370614359173,45879.0
17,0,5,2018,5,569,2,692,886.6831105491832,66300.0
4,0,5,2000,1,406,2,248,1017.8760197630929,49913.0
7,0,1,2013,5,559,0,73,1520.53084433746,364057.0
21,0,1,2024,3,488,2,33,1320.2543126711105,206565.0
17,0,5,2024,3,577,2,609,973.1397403759745,82000.0
18,0,0,2022,5,417,3,747,1017.8760197630929,28350.0
6,0,6,2022,5,590,2,505,1104.4661672776617,44431.0
