name,Movement,Case material,Year of production,Condition,Reference number,Scope of delivery,Location,Case area(mm2),price($)
2,0,3,2010,6,665,2,208,1256.6370614359173,61908.0
4,2,7,2023,5,519,2,259,1182.3698111050544,49461.0
1,0,8,2012,3,565,2,219,1256.6370614359173,54999.0
0,1,9,2022,1,93,0,228,806.0,7700.0
0,1,9,1997,6,449,0,159,1734.9445429449634,7238.0
18,0,7,2021,5,647,2,208,1256.6370614359173,81784.0
18,0,8,2024,3,446,2,195,1320.2543126711105,160000.0
1,0,5,2024,3,299,2,219,1134.1149479459152,58900.0
26,1,9,2004,1,572,0,247,551.5458602458581,7600.0
21,0,5,2022,3,660,2,195,1650.2,81802.0
9,1,8,2022,5,461,2,247,1320.2543126711105,78000.0
6,0,8,2021,3,673,2,79,1134.1149479459152,41901.0
8,1,8,2020,6,465,2,219,1320.2543126711105,64950.0
1,0,9,2010,6,499,2,133,1194.5906065275187,35313.0
11,0,9,2013,6,124,0,158,1085.0,15367.0
4,0,8,2024,3,498,2,80,1398.6684653047118,91945.0
12,1,5,2006,6,6,3,208,804.247719318987,23447.0
21,0,9,2021,6,374,2,70,1017.8760197630929,43701.0
6,0,8,2003,6,673,2,259,1134.1149479459152,29827.0
18,0,7,2020,6,711,2,259,973.1397403759745,53500.0
18,0,7,2016,6,414,2,208,1256.6370614359173,114041.0
27,0,5,2020,6,436,0,228,1225.4174844408687,53888.0
27,0,8,1997,6,346,1,219,1164.1564276958677,105975.0
18,0,9,1983,6,110,2,259,1075.2100856911068,100220.0
2,0,3,2022,5,658,2,247,1385.4423602330987,117348.0
27,0,5,2008,6,578,2,26,1225.4174844408687,44041.0
0,0,9,1987,6,798,1,51,754.7676350249478,61224.0
0,1,3,1925,6,182,1,259,1385.4423602330987,16147.0
18,0,7,1992,1,139,2,146,1075.2100856911068,55678.0
4,0,5,2017,6,396,2,70,1398.6684653047118,102190.0
6,1,5,2023,6,176,0,247,1134.1149479459152,22993.0
1,0,8,2020,6,333,2,80,1194.5906065275187,49256.0
6,1,9,1959,6,798,0,96,1320.2543126711105,8908.0
6,0,8,2019,6,547,2,96,1194.5906065275187,32293.0
18,0,7,2012,3,643,2,259,855.2985999398212,109129.0
6,1,9,1990,6,176,3,47,855.2985999398212,12249.0
2,0,3,2006,6,665,2,259,1288.2493375126646,49290.0
1,0,8,2024,1,499,2,259,1194.5906065275187,45759.0
27,0,5,2022,5,744,2,222,1017.8760197630929,80375.0
6,0,5,2018,6,324,3,133,1075.2100856911068,29422.0
6,2,9,2019,0,248,0,130,530.929158456675,8536.0
21,0,8,2011,6,510,2,259,1134.1149479459152,45047.0
18,0,7,2023,3,711,2,233,973.1397403759745,63000.0
18,0,5,2011,6,631,2,247,1256.6370614359173,130560.0
21,0,8,2018,6,766,2,208,1650.2,68425.0
12,0,9,2005,6,335,0,259,1938.0,26000.0
6,0,8,2022,6,167,0,222,855.2985999398212,10500.0
6,1,9,2022,3,320,2,228,1225.4174844408687,38147.0
4,0,7,2021,3,664,2,196,1398.6684653047118,129681.0
6,1,5,2014,6,449,2,247,1017.8760197630929,24410.0
6,0,9,1999,6,421,3,151,962.1127501618741,29509.0
0,1,9,1925,6,575,0,65,1590.4312808798327,10010.0
6,1,3,2007,6,580,0,247,1075.2100856911068,34300.0
18,0,7,1981,6,110,3,259,1385.4423602330987,121253.0
6,1,8,2017,6,177,0,259,855.2985999398212,14337.0
0,1,3,1970,0,127,0,133,855.2985999398212,7539.0
6,0,8,2007,6,687,3,177,1075.2100856911068,29292.0
18,0,7,1998,1,139,0,26,1075.2100856911068,54286.0
6,1,8,2001,6,449,0,259,962.1127501618741,14922.0
18,0,7,2019,3,643,2,96,1520.0,130801.0
0,0,9,1906,6,545,0,148,973.1397403759745,6347.0
18,0,7,1970,6,110,2,247,1385.4423602330987,82500.0
18,0,7,2015,6,414,2,247,1256.6370614359173,121999.0
11,1,8,2024,6,163,0,133,864.0,12784.0
18,0,5,2022,3,680,2,219,1288.2493375126646,129500.0
6,1,5,2023,5,7,2,196,1194.5906065275187,31278.0
4,0,8,2022,6,498,2,218,1398.6684653047118,81000.0
18,0,5,2017,1,713,2,247,1256.6370614359173,167000.0
4,0,8,2023,5,312,2,259,1385.4423602330987,136784.0
21,0,5,2022,6,798,0,247,1017.8760197630929,44588.0
27,0,5,2024,3,743,2,259,1017.8760197630929,55567.0
18,1,5,2022,5,720,2,247,962.1127501618741,129999.0
1,0,3,2017,6,580,2,219,1194.5906065275187,59500.0
2,0,3,2010,6,665,2,145,1320.2543126711105,70154.0
18,0,5,2000,3,720,2,78,973.1397403759745,121893.0
18,0,7,2022,6,414,2,247,1288.2493375126646,165000.0
12,0,8,2018,6,398,2,246,149.6,35000.0
6,0,5,2019,6,449,0,259,1075.2100856911068,24555.0
18,2,9,1985,1,110,2,259,855.2985999398212,47549.0
1,0,5,2024,6,372,1,259,1256.6370614359173,55274.0
18,0,7,2012,6,229,0,259,551.5458602458581,53546.0
26,2,8,1982,5,798,2,115,1075.2100856911068,6236.0
21,0,8,2006,5,189,2,259,1017.8760197630929,66814.0
6,1,9,1967,6,50,0,259,907.9202768874502,11124.0
22,1,8,2013,5,541,2,80,1320.2543126711105,115588.0
11,2,9,1980,1,157,0,219,754.7676350249478,14000.0
18,0,5,2023,6,713,2,259,973.1397403759745,81791.0
27,0,8,2010,6,554,1,247,1225.4174844408687,119500.0
1,0,5,2022,5,540,2,208,1256.6370614359173,61250.0
21,0,9,2020,6,335,2,27,1134.1149479459152,77838.0
2,0,7,2015,6,414,2,247,1288.2493375126646,65900.0
1,0,5,2015,6,640,2,247,1164.1564276958677,54838.0
4,0,8,2019,5,498,2,247,1398.6684653047118,105000.0
6,1,5,2022,5,680,2,228,1075.2100856911068,26800.0
25,2,7,2006,6,280,2,259,750.0,11820.0
18,0,5,2016,6,713,2,247,1256.6370614359173,159000.0
25,2,8,2004,6,274,2,259,490.8738521234052,24387.0
4,0,7,2020,5,524,2,247,1256.6370614359173,74950.0
6,1,9,1996,6,176,3,185,572.5552611167398,16189.0
12,1,8,2019,6,446,0,70,706.8583470577034,13078.0
0,1,9,1920,1,798,0,96,980.0,13920.0
1,0,8,2024,5,593,2,47,1134.1149479459152,56569.0
27,0,3,2022,6,566,2,64,1164.1564276958677,77938.0
6,0,5,2023,5,542,2,259,1194.5906065275187,44542.0
1,0,5,2016,6,593,2,247,1164.1564276958677,56960.0
4,0,8,2021,6,312,2,195,1398.6684653047118,122842.0
6,1,8,2020,6,749,0,259,1244.1021067480938,12182.0
26,1,8,2020,1,643,0,259,1131.0,17102.0
18,0,7,2018,6,414,2,208,1288.2493375126646,120557.0
6,0,5,2024,6,542,2,228,1020.0,21000.0
18,0,7,2014,6,617,2,247,1520.0,114950.0
12,1,8,1970,6,85,0,259,530.929158456675,7912.0
18,0,8,2018,1,631,2,259,1520.0,72811.0
12,1,5,2021,5,713,3,228,1013.9999999999999,39000.0
6,0,8,2021,3,311,2,247,753.0,75202.0
1,0,7,2022,3,314,2,247,1134.1149479459152,65500.0
6,1,8,1990,1,175,0,3,855.2985999398212,12485.0
18,0,7,2023,6,643,2,259,1520.0,123133.0
4,0,8,2022,6,313,2,27,1398.6684653047118,128059.0
24,0,5,2023,3,533,2,247,1385.4423602330987,63346.0
4,0,7,2024,3,522,2,195,1307.4051987179282,88000.0
12,1,7,2018,6,577,0,228,1225.4174844408687,26775.0
2,0,5,2023,3,369,2,253,1256.6370614359173,79900.0
1,0,8,2008,6,333,2,247,1194.5906065275187,39500.0
18,0,5,2016,5,680,2,208,1288.2493375126646,121209.0
18,0,5,2010,6,740,0,208,1017.8760197630929,136849.0
1,0,5,2022,6,586,2,28,1288.2493375126646,61134.0
8,0,8,2014,6,225,2,70,1256.6370614359173,83539.0
28,0,3,2010,5,665,2,204,1225.4174844408687,147311.0
4,0,8,2023,3,498,2,28,1398.6684653047118,93428.0
18,1,7,2021,6,720,2,259,510.70515574919074,75503.0
12,1,8,2020,0,439,3,125,530.929158456675,10824.0
12,1,8,2024,6,343,0,164,1140.0,14646.0
18,0,7,2016,6,617,2,247,1520.0,99500.0
4,0,7,2020,6,524,2,247,1256.6370614359173,61000.0
25,0,7,2023,1,614,3,259,1017.8760197630929,31068.0
6,0,8,2023,5,696,2,195,1256.6370614359173,43807.0
0,1,9,2010,1,798,0,204,324.0,20853.0
6,1,9,1998,1,338,0,259,855.2985999398212,11752.0
6,1,9,1955,1,34,0,171,962.1127501618741,31433.0
8,1,8,2022,0,470,1,259,1219.2206929316628,62280.0
6,1,3,2019,6,580,2,133,1075.2100856911068,34503.0
6,0,5,2015,6,324,2,27,1075.2100856911068,37304.0
26,2,9,1984,1,169,2,259,754.7676350249478,14810.0
21,1,9,2009,6,462,0,80,973.1397403759745,44134.0
0,0,7,1971,1,798,2,133,1320.2543126711105,19667.0
11,0,9,1977,6,102,3,259,1254.0,20590.0
26,1,9,1944,6,798,0,256,738.0,12615.0
18,0,7,2022,5,711,2,80,973.1397403759745,79940.0
24,0,8,2015,0,641,2,80,1385.4423602330987,40515.0
27,0,8,2013,6,528,2,259,1225.4174844408687,39865.0
1,0,5,2022,5,540,2,259,1256.6370614359173,61256.0
6,0,9,2016,6,56,0,178,962.1127501618741,16787.0
27,0,9,2012,1,479,0,259,1256.6370614359173,99563.0
11,1,9,1980,6,798,0,32,1482.0,19821.0
21,0,3,2016,5,435,2,247,1596.0,97980.0
18,0,8,2021,5,631,2,247,1520.0,87745.0
6,1,8,2023,3,454,2,177,1194.5906065275187,35500.0
6,1,9,1994,6,253,3,65,530.929158456675,9130.0
6,0,5,2024,3,456,2,78,1194.5906065275187,34151.0
18,0,7,2012,6,722,2,47,1256.6370614359173,155887.0
18,0,9,1988,1,110,2,51,1075.2100856911068,105788.0
8,0,5,2023,5,748,2,60,1134.1149479459152,56235.0
25,0,8,2020,6,288,0,28,750.0,12249.0
18,0,7,2018,6,617,2,233,1520.0,114000.0
6,1,9,1970,6,56,0,208,962.1127501618741,19485.0
26,1,9,2024,6,643,0,256,804.247719318987,9250.0
1,0,8,2023,5,333,2,99,1194.5906065275187,70154.0
1,0,5,2007,6,578,3,219,1194.5906065275187,47950.0
21,0,8,2022,3,583,2,247,1256.6370614359173,84000.0
1,0,5,2023,5,540,2,159,1256.6370614359173,73495.0
11,1,8,1974,1,76,3,96,864.0,9465.0
6,0,8,1993,6,322,2,132,855.2985999398212,17668.0
4,0,8,2013,5,450,2,247,1288.2493375126646,79800.0
4,0,5,2024,5,545,2,27,1307.4051987179282,130175.0
18,0,7,2012,6,643,2,259,1520.0,105788.0
6,1,5,2023,6,449,1,259,1017.8760197630929,14166.0
8,1,8,2021,6,465,2,247,1320.2543126711105,61500.0
4,0,7,2013,5,424,2,133,1307.4051987179282,57342.0
21,0,5,2010,5,449,2,208,1134.1149479459152,75593.0
0,2,0,2023,1,798,0,259,1307.4051987179282,4176.0
6,0,8,2024,6,528,2,259,962.1127501618741,24133.0
18,0,7,2010,6,414,2,228,1782.0,112200.0
6,1,9,1989,6,176,3,208,855.2985999398212,18181.0
0,0,4,1889,6,751,0,259,2206.1834409834323,26280.0
4,0,7,2023,3,664,2,28,1398.6684653047118,144651.0
1,0,5,2017,6,593,2,228,1463.0,41500.0
11,1,8,1973,6,798,0,27,864.0,17594.0
4,0,7,2010,6,524,0,247,1256.6370614359173,58500.0
21,0,3,2017,6,494,2,98,1086.8653944359248,72381.0
18,0,7,2021,1,647,2,80,1288.2493375126646,75920.0
6,1,8,2016,6,504,0,221,962.1127501618741,15850.0
12,1,9,2017,1,327,1,247,1014.0,17000.0
12,1,8,2023,6,549,0,221,1519.56,37970.0
6,0,5,2019,6,542,2,219,1194.5906065275187,31999.0
4,0,9,2006,6,391,2,158,1017.8760197630929,52337.0
21,0,3,1950,6,669,0,66,1225.4174844408687,46827.0
6,1,8,1960,3,305,2,78,855.2985999398212,23512.0
25,2,7,2023,3,274,2,233,753.0,17495.0
12,2,8,2021,6,488,2,228,1938.0,29925.0
12,0,8,2015,6,469,0,259,1938.0,26000.0
6,1,9,1960,6,664,0,27,962.1127501618741,12795.0
1,0,8,2018,6,482,1,133,1164.1564276958677,42943.0
4,0,5,2023,3,563,2,228,1182.3698111050544,94500.0
12,2,8,2018,6,314,2,28,1075.2100856911068,16592.0
6,1,9,1965,1,798,0,189,962.1127501618741,35077.0
1,0,8,2022,5,565,2,247,1256.6370614359173,51950.0
4,0,5,2014,3,545,2,78,1256.6370614359173,88399.0
28,0,7,2022,6,654,2,208,1320.2543126711105,68425.0
12,0,9,1970,6,335,0,247,2042.820622996763,32500.0
4,0,7,2021,0,386,1,130,1134.1149479459152,41967.0
18,0,5,2019,6,723,2,259,962.1127501618741,89864.0
4,0,8,2024,3,313,2,195,1398.6684653047118,129000.0
6,0,8,2023,6,311,2,259,1046.3467031862506,60000.0
0,1,9,2007,6,798,0,228,415.4756284372501,13310.0
6,1,5,1945,6,798,3,172,1288.2493375126646,12806.0
25,2,7,2015,3,280,2,247,753.0,17400.0
1,0,8,2000,6,334,1,47,1075.2100856911068,22828.0
0,1,9,1949,1,798,0,27,701.5,13920.0
21,0,8,1997,6,360,2,23,1017.8760197630929,78951.0
18,0,7,2022,0,414,0,259,1288.2493375126646,118004.0
1,0,5,1998,1,367,3,259,1075.2100856911068,30623.0
18,0,5,2021,6,680,2,197,1288.2493375126646,123809.0
27,0,5,2001,6,449,2,145,1075.2100856911068,83517.0
12,1,9,2024,1,344,0,230,1436.2,16450.0
18,0,7,2021,3,414,2,247,1288.2493375126646,128000.0
4,0,8,2022,3,312,2,259,1398.6684653047118,129000.0
4,0,7,1950,6,414,3,133,907.9202768874502,36866.0
18,2,5,2023,5,713,2,47,1134.1149479459152,87414.0
6,0,9,2017,6,27,0,228,934.8201639838128,26520.0
12,1,5,1907,1,711,0,28,1194.5906065275187,11024.0
2,0,5,2022,5,660,2,259,1385.4423602330987,71000.0
18,0,5,2016,6,638,2,159,973.1397403759745,100209.0
6,1,8,2016,6,175,0,247,855.2985999398212,11500.0
4,0,8,2024,3,312,2,195,1398.6684653047118,128000.0
6,1,5,2024,1,182,0,222,804.247719318987,12500.0
18,0,5,2013,3,631,3,222,1256.6370614359173,139500.0
1,0,8,2012,6,532,2,216,1256.6370614359173,45616.0
6,0,8,2021,6,320,2,80,962.1127501618741,26927.0
26,1,9,2023,6,279,1,259,490.0,8741.0
18,0,7,2015,6,711,2,208,1256.6370614359173,94491.0
12,1,8,2019,6,459,2,259,1436.2,26007.0
6,0,8,2002,6,206,2,238,1017.8760197630929,20500.0
4,2,7,2018,1,394,2,247,995.3822163633902,39500.0
1,0,9,2011,6,390,0,228,1075.2100856911068,42500.0
21,0,9,1990,6,185,0,27,1017.8760197630929,67649.0
18,0,7,2013,6,643,2,187,1256.6370614359173,127447.0
4,0,7,2000,6,387,2,96,1134.1149479459152,51224.0
18,0,5,1991,5,713,2,259,1385.4423602330987,83517.0
21,0,3,2021,6,510,2,228,1134.1149479459152,48825.0
2,0,7,2022,3,346,2,259,1385.4423602330987,57346.0
18,0,5,2017,6,680,2,145,1288.2493375126646,154785.0
21,0,8,2006,6,528,2,222,1665.0,78200.0
18,0,7,2023,5,643,2,194,1520.0,135854.0
8,1,5,2021,6,748,0,66,1134.1149479459152,47043.0
18,2,8,2011,6,712,2,148,804.247719318987,41870.0
4,0,8,2020,5,450,2,247,621.0,80900.0
8,1,8,2023,5,461,2,219,1320.2543126711105,81179.0
18,2,5,2020,6,706,2,193,804.247719318987,49555.0
6,0,9,1990,5,151,0,153,855.2985999398212,36987.0
18,0,9,2023,6,146,0,247,1075.2100856911068,85000.0
2,0,5,2021,5,660,2,49,1385.4423602330987,81179.0
21,0,8,2022,3,583,2,259,1256.6370614359173,83000.0
4,2,7,2022,6,384,1,247,1398.6684653047118,40000.0
18,0,1,2018,5,414,2,247,1559.25,110500.0
21,0,8,2010,6,650,2,208,1075.2100856911068,71683.0
28,0,8,2017,3,469,2,177,1225.4174844408687,83517.0
